Filename,Best,Function,NumEvals,X,Y,Z,RunTime_sec,g1
SquareSupportWithAdditionsForSegmentationTesting.STL,2,518575367.3,187,1,0,0,00:12.9,22771.45271
SquareSupportWithAdditionsForSegmentationTesting.STL,3,14477647203,187,0,-1,0,00:12.9,120323.0951
SquareSupportWithAdditionsForSegmentationTesting.STL,4,16099210457,187,0,0,-1,00:12.9,126882.6374
SquareSupportWithAdditionsForSegmentationTesting.STL,5,16375986302,187,0,0,1,00:12.9,127968.6662
SquareSupportWithAdditionsForSegmentationTesting.STL,6,56301488492,187,0.525731112,0,-0.850650808,00:12.9,237279.2654
SquareSupportWithAdditionsForSegmentationTesting.STL,7,56301990166,187,0.525731112,0,0.850650808,00:12.9,237280.3225
Square_Support.STL,1,19354.80406,199,0,1,0,00:11.8,-6225.699848
Square_Support.STL,2,3072934773,199,0,-1,0,00:11.8,55434.05788
Square_Support.STL,3,7115303456,199,0,0,1,00:11.8,84352.17211
Square_Support.STL,4,7115312877,199,0,0,-1,00:11.8,84352.22796
Square_Support.STL,5,37915996833,199,-0.525731112,0,0.850650808,00:11.8,194720.2047
Square_Support.STL,6,37916078486,199,0.525731112,0,-0.850650808,00:11.8,194720.4144
Square_Support.STL,7,37916612251,199,-0.525731112,0,-0.850650808,00:11.8,194721.785
Square_Support.STL,8,37916699366,199,0.525731112,0,0.850650808,00:11.8,194722.0087
Square_Support.STL,9,43600468440,199,1,0,0,00:11.8,208807.1649
Square_Support.STL,10,43640792985,199,-1,0,0,00:11.8,208903.7019
sth2.STL,1,17479.96588,195,0.059431274,0.928199662,-0.367305475,00:11.6,-0.1
sth2.STL,2,9499962705,195,1,0,0,00:11.6,97467.66246
sth2.STL,3,9941200035,195,-1,0,0,00:11.6,99705.47906
sth2.STL,4,32776524874,195,0,0,1,00:11.6,181042.8462
sth2.STL,5,37275569087,195,0,1,0,00:11.6,193068.8196
sth2.STL,6,64273894698,195,0.839546437,-0.542953222,0.019067772,00:11.6,253522.9323
sth2.STL,7,64899932460,195,-0.837836393,-0.545711066,0.015152906,00:11.6,254754.6172
sth2.STL,8,65022200049,195,-0.850650808,-0.525731112,0,00:11.6,254994.4756
sth2.STL,9,65108367486,195,0.850650808,-0.525731112,0,00:11.6,255163.379
sth2.STL,10,65599463827,195,0.002182493,-0.801616123,-0.597835118,00:11.6,256123.8887
sth2.STL,11,66344307278,195,0.809016994,-0.309016994,-0.5,00:11.6,257573.8531
sth2.STL,12,66572975482,195,-0.809016994,0.309016994,0.5,00:11.6,258017.3599
TestPartC.STL,1,19300.27669,205,0,0,1,00:08.0,-964.5245187
TestPartC.STL,2,19300.27669,205,0,0,-1,00:08.0,-964.9968779
TestPartC.STL,3,19300.27669,205,0,0,1,00:08.0,-964.5245187
TestPartC.STL,4,19300.27669,205,0,0,-1,00:08.0,-964.9968779
TestPartC.STL,5,212471555.4,205,0,1,0,00:08.0,14576.40406
TestPartC.STL,6,241616095.2,205,-0.999377743,0.024739375,-0.025141385,00:08.0,15543.37666
TestPartC.STL,7,241741914.1,205,-0.999377743,0.024739375,0.025141385,00:08.0,15547.42348
TestPartC.STL,8,451280842.1,205,1,0,0,00:08.0,21243.10108
TestPartC.STL,9,658947400.1,205,-0.525731112,0,0.850650808,00:08.0,25669.59023
TestPartC.STL,10,683313620.2,205,0.525731112,0,0.850650808,00:08.0,26139.89447
TestPartC.STL,11,689318550.2,205,0.525731112,0,-0.850650808,00:08.0,26254.50462
TestPartK2.STL,1,2858.891683,101,0,0,1,00:05.2,-7470.544868
TestPartK2.STL,2,3394.646074,101,-0.742516427,0.006628118,0.669795061,00:05.2,-385.8525558
TestPartK2.STL,3,3394.646074,101,0,0,-1,00:05.2,-1231.570505
TestPartK2.STL,4,23150199.61,101,0.825718166,-0.006126846,0.564049619,00:05.2,4811.112653
TestPartK2.STL,5,37199600.65,101,-0.527294253,-0.117562142,0.841510495,00:05.2,6098.86924
TestPartK2.STL,6,764610013.5,101,0.525731112,0,-0.850650808,00:05.2,27651.52109
TieFighter.STL,1,2263.615852,234,0,0,-1,00:09.1,-4536.070045
TieFighter.STL,2,82751587.51,234,0,0,1,00:09.1,9096.725773
TieFighter.STL,3,572389242.3,234,-0.016574757,-0.847182227,0.531043832,00:09.1,23924.60625
TieFighter.STL,4,572389692.4,234,-0.016574757,0.847182227,0.531043832,00:09.1,23924.61566
TieFighter.STL,5,709502155.6,234,-0.026083306,0.98851576,0.148849767,00:09.1,26636.43553
TieFighter.STL,6,709502439.2,234,-0.026083306,-0.98851576,0.148849767,00:09.1,26636.44085
TieFighter.STL,7,709929809.6,234,0.026083306,-0.98851576,0.148849767,00:09.1,26644.46193
TieFighter.STL,8,709930139.5,234,0.026083306,0.98851576,0.148849767,00:09.1,26644.46812
TieFighter.STL,9,817780875.1,234,0.019657715,0.839878284,-0.542418696,00:09.1,28596.8253
TieFighter.STL,10,817780902.2,234,0.019657715,-0.839878284,-0.542418696,00:09.1,28596.82577
TieFighter.STL,11,1802693202,234,-0.525731112,0,-0.850650808,00:09.1,42458.10575
TieFighter.STL,12,1802768719,234,0.525731112,0,-0.850650808,00:09.1,42458.99506
TXT - Amortisseur-1 X5 butoir de ressort-1.STL,1,0.000194017,156,0.02319068,-0.287678695,-0.957446166,00:05.7,-0.1
TXT - Amortisseur-1 X5 butoir de ressort-1.STL,2,51.63305668,156,-0.032492461,0.280264664,0.95937269,00:05.7,7.185601065
TXT - Amortisseur-1 X5 butoir de ressort-1.STL,3,80.03950844,156,0.038652925,-0.828561769,-0.558561856,00:05.7,8.946469383
TXT - Amortisseur-1 X5 butoir de ressort-1.STL,4,81.66920865,156,-0.01396073,0.861078851,0.508279757,00:05.7,9.037091049
TXT - Amortisseur-1 X5 butoir de ressort-1.STL,5,82.99278211,156,-0.056636444,0.82289773,0.565359743,00:05.7,9.110026789
TXT - Amortisseur-1 X5 butoir de ressort-1.STL,6,85.55889507,156,0.034909749,-0.927391533,-0.372459735,00:05.7,9.249794649
TXT - Amortisseur-1 X5 butoir de ressort-1.STL,7,87.0806713,156,0,0.850650808,0.525731112,00:05.7,9.331692091
TXT - Amortisseur-1 X5 butoir de ressort-1.STL,8,88.62349556,156,0,-0.850650808,-0.525731112,00:05.7,9.413994983
TXT - Amortisseur-1 X5 butoir de ressort-1.STL,9,108.9726028,156,0,-0.850650808,0.525731112,00:05.7,10.43898505
TXT - G5 support de carrosserie-1.STL,1,429.2654503,216,0,0,-1,00:21.8,-16.26457528
TXT - G5 support de carrosserie-1.STL,2,429.2654508,216,0,0,1,00:21.8,-21.83536157
TXT - G5 support de carrosserie-1.STL,3,16265.74555,216,0,1,0,00:21.8,126.1099062
TXT - G5 support de carrosserie-1.STL,4,160564.0521,216,0,-1,0,00:21.8,400.3816872
TXT - G5 support de carrosserie-1.STL,5,290197.3816,216,0.525731112,0,-0.850650808,00:21.8,538.2818767
TXT - G5 support de carrosserie-1.STL,6,290974.1412,216,-0.525731112,0,0.850650808,00:21.8,539.0029111
TXT - G5 support de carrosserie-1.STL,7,290982.2647,216,0.525731112,0,0.850650808,00:21.8,539.0104469
TXT - G5 support de carrosserie-1.STL,8,293529.7402,216,-0.525731112,0,-0.850650808,00:21.8,541.3683934
